@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA

12.0,19.3,1270000.0,0,6.02,31.2,2.17,295,8.0,1280
4.80,4.54,295000.0,1.7,6.85,28.9,2.27,101,0,1280
7.48,10.5,693000.0,1.3,6.80,30.3,1.90,163,0,1920
6.76,14.5,529000.0,0,8.22,29.3,2.49,182,0,1920
7.88,9.05,541000.0,2.3,6.83,30.7,1.92,155,0,1920
6.56,11.6,344000.0,0,8.31,31.7,4.92,120,9.6,1920
8.64,9.37,434999.0,1.1,5.98,30.6,1.71,148,3.6,1920
14.0,21.0,779000.0,0,6.03,32.2,1.34,234,0,1920
15.0,26.6,985000.0,0,4.50,30.7,0.0,239,2.8,1920
14.5,24.7,1050000.0,0,4.91,30.4,0.0,323,2.2,1920
14.5,25.8,1470000.0,0,4.77,29.3,0.0,368,1.2,1280
14.5,25.9,1450000.0,0,4.75,29.8,0.0,372,0,1280
13.9,24.7,1290000.0,0,4.82,29.9,0.0,330,0,1280
15.0,25.8,1030000.0,0,5.29,29.2,0.0,429,1.9,1280
14.5,24.3,894000.0,0,5.92,28.0,1.11,335,2.6,1920
14.6,25.9,1150000.0,0,4.73,31.6,0.0,296,1.9,1920
14.5,26.2,811999.0,0,4.46,32.9,0.0,225,0,1920
15.0,26.8,754000.0,1.1,4.41,31.8,0.0,417,1.7,1920
14.4,25.3,574000.0,1.5,4.18,33.1,0.0,178,1.6,1280
14.6,25.9,717000.0,1.6,4.37,31.8,0.0,238,2.7,1280
14.0,25.1,715000.0,2.0,4.27,32.8,0.0,235,3.7,1280
15.0,26.9,744000.0,0,4.05,33.3,0.0,214,6.2,1280
12.8,23.5,796000.0,1.3,4.11,31.1,0.0,200,4.2,1280
13.9,25.0,743000.0,1.5,3.60,33.2,0.0,178,8.6,1280
15.0,27.0,868000.0,0,3.83,33.0,0.0,229,3.9,1280
15.0,26.9,988000.0,2.0,3.87,33.1,0.0,234,5.6,1280
