@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE blerUp REAL
@ATTRIBUTE class {A,B,C,D,E,F,G}


@DATA
12.6,13,3.21,38.0,35,A
10.0,2.5,8.17,36.1,1.4,B
15.0,1.8,10.3,30.9,9.8,C
15.0,2.7,7.84,32.9,3.1,D
9.96,12,3.86,37.1,19,A
14.4,1.2,8.34,35.5,6.7,B
15.0,0,12.7,31.2,11,C
12.6,4.1,7.65,32.3,6.8,D
9.96,36,3.08,37.2,28,A
12.6,0,6.74,34.2,11,B
15.0,0,9.39,29.2,10,C
10.2,4.9,6.19,31.6,3.5,D
12.6,28,3.50,36.6,18,A
15.0,0,8.56,36.2,13,B
15.0,0,11.3,29.9,8.2,C
10.3,5.6,7.13,30.1,9.5,D
11.9,10,3.39,36.8,20,A
13.8,1.2,8.71,33.6,2.7,D
15.0,0,10.7,28.7,9.0,C
9.08,9.4,6.55,29.7,9.9,D
9.00,39,2.13,37.8,48,A
15.0,0,8.58,34.7,12,D
15.0,0,9.86,32.7,1.6,C
15.0,1.3,7.64,32.2,2.8,D
3.00,0,2.19,38.0,50,A
15.0,0,7.37,35.1,0,D
15.0,2.0,7.45,28.4,5.4,C
13.9,1.0,8.55,32.4,3.4,D
10.8,18,2.74,36.2,29,A
13.3,2.2,8.49,35.9,8.0,D
15.0,0,10.1,30.1,0,C
15.0,0,9.29,32.1,0,D
10.8,5.6,2.40,37.0,27,B
10.8,0,6.23,34.6,12,D
15.0,5.4,12.6,25.9,15,C
15.0,0,11.2,31.7,1.5,D
4.75,1.3,1.90,38.2,41,B
13.2,0,6.72,34.2,6.7,D
15.0,0,12.9,26.8,2.9,C
15.0,0,9.67,31.7,11,D
10.2,20,3.61,38.5,22,B
7.40,0,6.42,33.9,11,D
15.0,0,15.6,29.1,0,C
15.0,0,11.1,31.1,0,D
6.00,0,3.81,36.8,12,B
11.4,0,6.50,33.6,1.8,D
15.0,0,15.2,25.9,5.0,C
15.0,0,9.74,31.2,3.0,D
14.4,2.5,3.72,37.0,17,E
11.4,5.6,6.89,34.8,2.7,D
15.0,0,15.9,29.3,0,C
15.0,0,10.1,32.6,1.4,D
6.60,8.3,4.02,36.7,9.9,E
11.4,0,6.43,33.9,5.0,D
15.0,1.6,13.2,24.8,7.9,C
15.0,0,11.4,32.8,1.8,D
10.6,6.0,3.74,37.5,12,E
7.80,0,7.95,33.3,2.9,D
13.8,1.0,14.9,26.3,1.5,C
15.0,0,11.5,32.5,0,D
12.0,4.4,3.79,36.6,17,E
6.00,8.8,7.35,34.0,4.3,D
15.0,1.6,9.80,32.9,13,C
13.9,0,9.85,29.7,5.1,B
7.20,1.7,2.93,35.0,27,B
15.0,1.5,7.89,33.6,6.1,D
14.4,8.3,14.7,31.9,7.0,C
11.0,2.7,8.79,31.2,11,B
13.8,4.8,3.87,36.7,7.4,B
15.0,0,10.0,33.8,0,D
14.9,10,15.1,28.9,5.6,C
13.3,3.7,9.73,31.9,3.0,B
4.32,1.2,3.35,37.6,30,B
14.8,0,9.11,34.5,3.5,D
15.0,0,11.4,30.2,13,C
3.68,6.2,6.31,30.0,1.8,B
