@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,480,640,768,1024,1280,1920}


@DATA

15.0,25.8,649000.0,0,4.60,29.5,0.0,255,0,320
1.25,0.0,148,4.5,3.12,34.9,0.0,54.3,16,320
7.36,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,26.5,1560000.0,0,4.05,28.8,0.0,575,0,320
3.00,7.12,168000.0,13,2.37,34.0,0.0,82.9,21,320
9.60,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,26.4,1310000.0,0,4.00,30.6,0.0,397,0,320
6.00,22.2,415000.0,14,1.61,34.5,0.0,167,28,320
11.1,4.43,2.95,0,6.15,35.8,4.22,15.6,22,320
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,26.8,1050000.0,4.6,3.44,32.9,0.0,271,16,320
6.67,9.86,290000.0,20,1.05,34.0,0.0,180,69,320
10.2,21.3,346000.0,0,3.64,37.6,0.0,179,12,320
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,320
15.0,26.5,890000.0,22,1.72,30.3,0.0,374,31,320
11.9,20.6,737000.0,15,2.33,36.0,0.0,360,29,320
15.0,26.9,730000.0,1.2,3.42,38.2,0.0,299,11,320
15.0,6.00,640,0,7.96,36.0,6.50,7.50,0,320
15.0,26.3,294000.0,12,1.90,32.0,0.0,107,36,320
15.0,26.7,1360000.0,6.7,3.47,35.8,0.0,492,11,320
14.4,25.7,811000.0,2.8,3.71,37.7,0.0,352,3.5,320
15.0,23.7,248000.0,0,6.75,33.9,3.01,136,8.1,320
15.0,25.2,878,10,1.29,34.2,0.0,33.3,69,320
15.0,26.9,746000.0,3.4,3.80,35.6,0.0,211,10,320
14.4,24.4,975000.0,1.0,3.53,37.7,0.0,413,6.3,320
15.0,26.8,996000.0,0,5.93,36.4,1.60,423,2.0,320
15.0,20.8,37.0,0,0.0,40.0,0.0,3.87,83,320
15.0,26.5,1150000.0,4.3,3.75,36.4,0.0,436,12,320
15.0,26.6,825000.0,2.6,3.36,38.3,0.0,356,7.5,320
15.0,26.7,909000.0,0,5.40,36.1,1.25,414,1.9,320
15.0,24.8,26.2,84,0.0,37.5,0.0,37.0,75,320
14.3,25.7,1240000.0,2.2,3.67,36.0,0.0,371,7.9,320
15.0,26.9,825000.0,0,3.17,38.6,0.0,236,12,320
15.0,27.0,825000.0,0,5.50,36.7,1.54,450,3.1,320
15.0,26.3,478000.0,0,3.47,34.9,0.0,242,2.7,320
15.0,26.3,239000.0,18,2.11,37.5,0.0,81.4,28,320
13.9,23.8,808000.0,1.9,3.85,37.4,0.0,316,8.2,320
15.0,26.7,1160000.0,0,5.06,36.2,0.0,435,1.6,320
15.0,27.0,617000.0,4.2,2.38,37.3,0.0,224,16,320
13.9,23.1,275000.0,23,1.27,37.0,0.0,99.4,65,320
15.0,26.7,974000.0,2.2,3.80,37.6,0.0,325,8.3,320
15.0,27.0,1030000.0,0,5.76,37.1,1.22,431,1.5,320
15.0,21.6,320,0,1.42,31.1,0.0,95.6,52,320
15.0,26.4,736000.0,7.7,2.59,34.6,0.0,206,23,320
14.4,25.0,1130000.0,0,4.95,37.6,0.0,279,1.6,320
15.0,26.8,1010000.0,0,6.30,35.8,1.67,249,1.4,320
14.4,21.6,131000.0,4.6,1.97,34.3,0.0,66.1,37,1280
14.3,24.6,589000.0,9.1,2.43,35.3,0.0,151,32,320
14.0,24.8,1220000.0,0,4.93,38.1,0.0,293,2.8,320
15.0,26.7,805000.0,0,5.97,35.4,1.27,283,1.4,320
15.0,25.8,209000.0,8.1,1.94,32.6,0.0,112,48,1280
15.0,26.5,328000.0,12,2.48,34.9,0.0,109,40,320
12.2,21.2,839000.0,0,5.12,37.5,0.0,240,2.3,320
15.0,26.7,998000.0,0,6.75,36.4,1.88,278,0,320
15.0,26.4,422000.0,0,1.98,32.1,0.0,147,35,1280
15.0,26.7,369000.0,13,1.97,34.8,0.0,95.7,40,320
13.2,20.9,834000.0,2.3,4.14,38.2,0.0,222,7.4,320
15.0,27.0,1140000.0,0,6.10,35.8,1.41,256,0,320
15.0,26.5,662000.0,0,2.29,31.8,0.0,225,5.2,320
15.0,26.9,379000.0,8.7,2.15,34.2,0.0,92.3,43,320
14.5,26.4,1080000.0,1.0,4.33,37.1,0.0,256,2.2,1024
15.0,26.8,872000.0,0,6.25,35.4,1.27,214,2.0,320
15.0,26.4,269000.0,1.8,2.23,34.2,0.0,98.0,52,1280
15.0,26.9,217000.0,14,1.91,34.0,0.0,32.3,52,320
12.8,20.7,1010000.0,0,4.90,37.9,0.0,227,7.7,1024
15.0,26.7,965000.0,0,6.71,36.5,1.91,310,1.6,320
15.0,26.7,701000.0,1.6,2.03,32.0,0.0,240,22,1280
13.8,21.0,209000.0,7.4,2.23,35.4,0.0,76.0,40,320
15.0,26.6,1080000.0,1.5,4.66,37.5,0.0,257,5.4,1024
15.0,26.7,846000.0,0,6.76,36.4,1.94,204,1.6,1024
15.0,25.8,265000.0,3.4,1.89,31.2,0.0,110,51,1280
14.4,24.6,461,3.7,1.71,35.2,0.0,45.3,46,320
14.0,24.0,1380000.0,2.5,4.38,37.4,0.0,335,4.2,1024
14.4,25.4,1130000.0,2.1,6.66,36.5,2.16,277,1.9,1024
15.0,26.7,819999.0,0,2.20,29.6,0.0,202,15,480
12.6,20.9,186000.0,4.3,1.72,35.8,0.0,73.2,40,320
13.9,23.2,964000.0,0,4.52,37.5,0.0,244,2.3,1024
15.0,26.5,756000.0,0,6.84,36.1,2.44,215,2.9,1024
15.0,26.8,518000.0,0,2.23,28.8,0.0,158,16,480
8.33,14.6,290000.0,7.8,1.96,35.0,0.0,64.5,38,320
13.4,23.1,1000000.0,0,4.45,37.3,0.0,278,1.8,1024
14.4,26.1,802000.0,1.1,6.43,36.1,1.67,202,2.3,1024
15.0,26.4,529000.0,0,2.21,31.0,0.0,137,35,480
13.6,23.7,341000.0,6.5,2.61,35.2,0.0,84.6,30,1280
14.5,24.7,777000.0,1.5,5.35,38.2,1.09,292,4.9,1024
15.0,26.5,917000.0,2.2,6.77,35.3,1.91,248,0,1280
15.0,25.1,289000.0,1.1,2.35,30.8,0.0,141,27,480
13.8,21.9,326000.0,5.2,3.50,34.9,0.0,165,22,1280
12.8,18.1,579000.0,0,5.56,37.7,0.0,280,2.6,1024
15.0,25.8,556000.0,1.4,7.65,36.2,3.31,264,5.1,1280
15.0,24.6,165000.0,1.2,2.81,28.8,0.0,50.8,24,480
13.1,22.2,397000.0,3.3,4.33,36.1,0.0,123,11,1280
13.2,21.7,838000.0,8.8,5.84,37.8,1.23,250,1.9,1024
15.0,25.3,322000.0,0,7.57,35.9,2.86,121,4.1,1280
15.0,26.5,520,0,3.71,30.0,0.0,33.1,20,480
13.0,23.1,397000.0,11,1.96,35.0,0.0,114,40,1280
13.9,24.7,1310000.0,1.5,5.05,36.7,0.0,317,1.4,1024
15.0,26.9,1030000.0,0,6.41,35.1,1.71,275,0,1280
14.4,25.2,537000.0,0,3.46,31.4,0.0,166,8.1,480
12.7,23.8,106000.0,7.3,1.19,37.0,0.0,36.1,57,768
12.7,21.5,998000.0,6.2,4.94,37.3,0.0,246,2.6,1024
15.0,26.7,992000.0,0,6.95,35.7,1.92,263,0,768
15.0,26.8,610000.0,4.0,2.59,35.7,0.0,147,19,480
13.2,16.1,153000.0,2.9,1.44,35.0,0.0,24.4,59,768
14.4,26.5,731000.0,0,4.79,37.2,0.0,217,1.0,1024
14.0,24.0,1240000.0,0,5.71,35.9,0.0,293,1.1,768
14.5,25.2,453000.0,0,4.16,31.9,0.0,172,0,480
15.0,25.5,114999.09,7.4,1.96,35.8,0.0,39.9,35,768
13.9,23.4,1170000.0,1.8,5.14,36.7,0.0,311,1.8,1024
11.0,19.5,815000.0,2.9,5.39,36.8,1.03,202,1.9,768
14.4,25.7,738000.0,1.8,2.36,32.1,0.0,199,7.5,480
15.0,22.6,382,24,0.0,33.0,0.0,22.6,65,768
15.0,26.8,1330000.0,0,5.95,35.1,0.0,319,0,1024
11.3,20.8,701000.0,1.5,2.44,33.5,0.0,162,11,768
15.0,26.8,785000.0,0,2.85,32.1,0.0,286,3.0,480
15.0,24.5,262,6.7,0.0,33.5,0.0,14.1,84,768
15.0,27.0,1590000.0,0,5.90,35.8,0.0,346,0,1024
8.88,14.7,409000.0,1.3,2.07,33.7,0.0,123,15,768
15.0,25.7,574000.0,0,5.05,32.1,1.04,248,4.3,480
15.0,25.4,129000.0,15,1.07,33.2,0.0,47.5,62,768
13.9,23.9,1080000.0,0,6.21,35.6,1.03,272,0,1024
8.82,13.4,437000.0,2.7,2.26,32.3,0.0,113,31,768
15.0,25.9,787000.0,0,5.24,30.9,0.0,238,0,480
15.0,24.3,166,8.3,0.0,0.0,0.0,0.0,100,768
14.4,24.2,1410000.0,1.1,6.53,35.2,1.22,393,0,1024
14.4,26.0,275000.0,8.0,1.96,32.7,0.0,95.9,35,768
15.0,26.6,1140000.0,0,5.14,31.4,0.0,308,0,480
15.0,25.0,12.2,0,0.0,0.0,0.0,0.0,100,768
15.0,26.5,928999.0,0,7.26,35.9,2.12,268,0,1024
15.0,26.6,543000.0,2.0,2.33,32.6,0.0,139,6.1,768
15.0,27.0,819000.0,0,3.93,32.8,0.0,232,1.4,480
15.0,25.0,12.2,0,0.0,0.0,0.0,0.0,100,640
15.0,26.5,1270000.0,0,6.80,35.3,2.05,346,0,1024
15.0,26.9,1030000.0,1.8,2.70,33.8,0.0,263,4.3,768
13.1,23.4,269000.0,0,2.42,34.0,0.0,70.6,13,480
13.8,8.15,334,4.2,3.08,35.5,0.0,29.6,22,640
14.4,23.9,556000.0,0,6.46,37.2,2.10,222,5.1,1024
15.0,26.8,1770000.0,0,6.87,35.1,1.87,369,0,768
15.0,26.6,479000.0,0,2.28,32.4,0.0,119,33,480
14.2,17.8,155000.0,7.4,1.79,34.2,0.0,45.1,43,640
14.5,25.5,1019999.0,1.4,4.27,37.8,0.0,244,4.2,1024
13.3,22.2,1050000.0,0,6.30,35.5,1.23,335,0,768
15.0,26.0,303000.0,1.7,2.76,31.6,0.0,103,25,480
9.58,4.65,266,8.5,0.0,34.0,0.0,14.8,61,640
13.8,24.3,1560000.0,1.8,3.64,36.8,0.0,338,8.8,1024
15.0,26.4,749000.0,0,6.91,35.6,1.99,391,0,768
15.0,26.8,886000.0,0,3.25,32.4,0.0,252,0,480
2.40,2.38,681,3.9,0.0,0.0,0.0,0.0,100,640
13.8,21.3,488000.0,1.9,4.09,35.3,0.0,147,9.2,1024
15.0,26.8,930000.0,0,5.77,34.5,1.07,239,0,768
15.0,27.0,844000.0,0,3.74,29.2,0.0,238,2.2,480
5.83,2.07,74.5,3.4,1.51,34.0,0.0,31.5,53,640
15.0,26.7,1220000.0,3.1,3.24,34.8,0.0,287,3.7,1280
15.0,26.9,941000.0,0,6.31,33.7,1.45,231,1.5,768
15.0,27.0,793000.0,0,4.10,32.0,0.0,225,0,480
2.29,1.92,527,5.3,1.08,33.7,0.0,25.7,60,640
15.0,26.9,796000.0,0,5.33,36.4,0.0,239,1.4,1280
15.0,27.0,844999.0,0,8.20,34.6,3.05,203,0,768
15.0,27.0,852000.0,0,2.86,31.1,0.0,223,4.9,480
14.0,19.9,189000.0,1.0,2.71,35.8,0.0,44.8,27,640
15.0,26.8,1130000.0,1.0,4.04,37.9,0.0,293,2.1,1280
15.0,26.9,852999.0,0,7.82,36.1,2.77,240,0,768
15.0,27.0,813000.0,0,3.63,29.9,0.0,197,2.5,480
11.7,26.8,166000.0,19,1.97,37.5,0.0,56.4,46,640
14.4,26.5,753000.0,1.1,4.25,37.0,0.0,194,2.6,1280
15.0,26.9,1260000.0,0,7.42,33.9,2.40,298,0,1024
15.0,26.3,306000.0,1.8,2.79,28.2,0.0,142,15,480
14.4,22.2,475000.0,5.8,3.32,32.8,0.0,155,14,640
8.40,6.40,48.7,13,1.55,40.0,0.0,22.3,48,768
15.0,26.4,1320000.0,0,8.40,34.5,3.42,296,2.1,1024
15.0,26.9,832000.0,0,4.38,24.7,0.0,226,0,640
15.0,26.9,441000.0,12,3.27,32.3,0.0,147,29,640
14.4,25.0,24.4,0,0.0,0.0,0.0,0.0,100,768
6.00,7.69,511000.0,0,7.86,36.6,2.71,166,0,1024
15.0,27.0,1050000.0,0,3.90,26.9,0.0,271,6.0,640
15.0,26.3,274000.0,4.0,4.11,33.0,1.15,59.3,28,320
14.0,18.1,111000.0,9.0,2.56,35.0,0.0,52.7,15,768
7.04,7.78,453000.0,0,7.61,36.4,2.52,127,2.3,1024
15.0,27.0,905000.0,0,4.70,26.1,0.0,246,0,640
10.2,13.7,161000.0,8.1,1.22,32.0,0.0,52.2,54,320
15.0,26.9,1060000.0,1.9,3.46,31.2,0.0,256,8.0,768
15.0,26.9,755000.0,0,7.63,36.5,2.70,184,0,1024
15.0,27.0,882000.0,0,4.25,28.7,0.0,238,0,640
7.00,0.0,12.0,0,0.0,0.0,0.0,0.0,100,320
15.0,26.7,919000.0,6.3,2.31,30.9,0.0,222,20,768
15.0,26.9,1250000.0,0,8.15,36.7,3.16,282,2.1,1024
15.0,27.0,1639999.0,0,4.46,29.3,0.0,362,0,768
15.0,25.8,118000.0,13,2.44,35.3,0.0,53.5,47,320
15.0,27.0,370000.0,21,1.44,33.3,0.0,56.6,58,768
13.4,23.4,705000.0,1.2,7.84,36.5,2.69,195,0,1024
15.0,27.0,1000000.0,0,3.42,28.8,0.0,244,0,768
15.0,24.2,115999.09,5.6,2.13,30.0,1.08,10.6,58,320
15.0,20.0,71.4,0,2.77,33.0,0.0,42.9,21,768
10.8,17.7,1320000.0,0,7.13,35.7,2.39,316,1.0,1024
14.4,26.2,850000.0,1.0,3.05,30.9,0.0,203,0,768
15.0,26.5,327000.0,8.9,2.54,32.7,0.0,79.6,32,320
15.0,26.7,654000.0,7.6,2.05,34.7,0.0,157,30,768
5.40,9.76,455000.0,9.2,3.91,33.6,0.0,112,0,768
15.0,26.9,1040000.0,0,2.69,32.5,0.0,247,1.6,768
15.0,20.2,154,11,0.0,32.0,0.0,20.1,64,320
15.0,26.9,933000.0,2.8,2.89,34.3,0.0,382,8.8,1024
7.72,9.07,384000.0,5.7,3.83,35.4,0.0,147,7.0,768
15.0,26.7,832000.0,0,2.37,32.7,0.0,243,2.7,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100,320
14.4,24.0,797000.0,3.7,2.85,35.7,0.0,182,12,1024
12.4,20.1,972000.0,0,5.23,30.8,0.0,235,0,768
15.0,26.7,709000.0,0,2.57,31.8,0.0,258,3.1,1024
15.0,25.2,632,7.5,1.58,32.0,0.0,8.95,53,320
13.8,23.1,1040000.0,1.6,3.58,35.3,0.0,348,3.2,1024
8.16,11.6,267000.0,0,5.12,34.3,0.0,113,2.2,768
15.0,26.7,910000.0,0,2.88,32.5,0.0,247,3.3,1024
15.0,26.2,776,14,1.34,32.0,0.0,54.7,53,320
12.0,12.9,344000.0,0,3.58,35.8,0.0,155,13,1024
11.2,14.7,562000.0,1.1,7.00,30.9,2.01,250,1.7,1024
15.0,27.0,931000.0,0,2.72,32.8,0.0,251,2.3,1024
10.4,16.9,866,5.2,1.36,33.0,0.0,29.1,64,320
15.0,26.8,1100000.0,3.3,3.33,35.4,0.0,355,6.6,1024
15.0,26.9,900000.0,0,9.32,29.1,4.87,363,0,1024
15.0,26.8,625000.0,0,2.56,32.6,0.0,161,3.2,768
2.71,3.88,661,5.0,2.22,0.0,0.0,16.3,57,320
13.9,22.4,774000.0,4.7,3.49,37.5,0.0,212,13,1024
15.0,27.0,1140000.0,0,11.7,29.4,6.56,299,0,1024
15.0,26.5,437000.0,0,2.10,30.7,0.0,123,16,768
3.00,0.0,0.0,0,2.42,0.0,7.50,0.0,100,320
