@relation VideoQuality-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cqi numeric
@attribute mcsDown numeric
@attribute brateDown numeric
@attribute blerDown numeric
@attribute snr numeric
@attribute phr numeric
@attribute mcsUp numeric
@attribute brateUp numeric
@attribute blerUp numeric
@attribute bsr numeric
@attribute class {A,B,C,D,E,F,G}

@data
0.84,0.737037,0.096569,0.135417,0.196933,0.947867,0.145378,0.047706,0.35,0,A
0.666667,0.677778,0.427941,0.026042,0.501227,0.900474,0.285714,0.348624,0.014,0,B
1,0.951852,0.266177,0.01875,0.631902,0.770766,0.463025,0.315367,0.098,0,C
1,0.951852,0.216177,0.028125,0.480982,0.820654,0.236975,0.309633,0.031,0,D
0.664,0.288519,0.079902,0.125,0.23681,0.925418,0,0.12156,0.19,0,A
0.96,0.922222,0.264706,0.0125,0.511656,0.885508,0.290756,0.327982,0.067,0,B
1,0.981481,0.388726,0,0.779141,0.778249,0.763866,0.237385,0.11,0,C
0.84,0.711111,0.383334,0.042708,0.469325,0.805687,0.278992,0.258028,0.068,0,D
0.664,0.191481,0.000227,0.375,0.188957,0.927912,0,0.083142,0.28,0,A
0.84,0.633333,0.177451,0,0.413497,0.853081,0.326891,0.211009,0.11,0,B
1,0.981481,0.402451,0,0.576074,0.728361,0.455462,0.297018,0.1,0,C
0.68,0.72963,0.362255,0.051042,0.379755,0.788226,0.157983,0.263761,0.035,0,D
0.84,0.707407,0.091667,0.291667,0.214724,0.912946,0,0.08406,0.18,0,A
1,0.97037,0.344118,0,0.525153,0.902968,0.395798,0.271789,0.13,0,B
1,0.992593,0.588236,0,0.693252,0.745822,0.577311,0.324541,0.082,0,C
0.686667,0.674074,0.198039,0.058333,0.437423,0.750811,0.276471,0.168578,0.095,0,D
0.793333,0.751852,0.080882,0.104167,0.207975,0.917935,0.121008,0.069266,0.2,0,A
0.92,0.874074,0.35049,0.0125,0.534356,0.838114,0.386555,0.307339,0.027,0,D
1,0.966667,0.375,0,0.656442,0.715889,0.560504,0.241972,0.09,0,C
0.605333,0.548148,0.270588,0.097917,0.40184,0.740833,0.246218,0.192661,0.099,0,D
0.6,0.481481,0.000436,0.40625,0.130675,0.942879,0.093277,0.041858,0.48,0.225589,A
1,0.974074,0.322059,0,0.52638,0.865553,0.445378,0.200688,0.12,0,D
1,0.811111,0.00045,0,0.604908,0.815665,0.393277,0.099771,0.016,0,C
1,0.992593,0.691177,0.013542,0.468712,0.803193,0.232773,0.415138,0.028,0,D
0.2,0.17963,0.00029,0,0.134356,0.947867,0,0.011204,0.5,0,A
1,0.988889,0.490196,0,0.452147,0.87553,0.168908,0.298165,0,0.230079,D
1,0.948148,0.162255,0.020833,0.457055,0.708406,0.205882,0.131881,0.054,0,C
0.926667,0.907407,0.294118,0.010417,0.52454,0.808182,0.287395,0.244266,0.034,0,D
0.72,0.316667,0.00043,0.1875,0.168098,0.902968,0,0.056422,0.29,0,A
0.886667,0.825926,0.471079,0.022917,0.520859,0.895485,0.422689,0.337156,0.08,0,D
1,0.977778,0.25196,0,0.619632,0.750811,0.397479,0.150229,0,0,C
1,1,0.462255,0,0.569939,0.800698,0.369748,0.28555,0,0,D
0.72,0.338148,0.000441,0.058333,0.147239,0.922923,0,0.040367,0.27,0,B
0.72,0.67037,0.395098,0,0.382209,0.863058,0.220168,0.240826,0.12,0,D
1,0.966667,0.12451,0.05625,0.773006,0.646046,0.746218,0.12156,0.15,0,C
1,0.992593,0.59804,0,0.687117,0.790721,0.486555,0.358945,0.015,0,D
0.316667,0.162222,0.000456,0.013542,0.116564,0.952856,0,0.040252,0.41,0,B
0.88,0.762963,0.337745,0,0.41227,0.853081,0.237815,0.251147,0.067,0,D
1,0.981481,0.380392,0,0.791411,0.668496,0.719328,0.260321,0.029,0,C
1,0.996296,0.539216,0,0.593252,0.790721,0.514286,0.292431,0.11,0,D
0.68,0.625926,0.056862,0.208333,0.221472,0.960339,0.142017,0.053899,0.22,0,B
0.493333,0.317778,0.137745,0,0.393865,0.845597,0.265546,0.119266,0.11,0,D
1,0.966667,0.114216,0,0.957055,0.725867,0.890756,0.087844,0,0,C
1,1,0.578432,0,0.680982,0.775755,0.480672,0.333716,0,0,D
0.4,0.273333,0.094118,0,0.233742,0.917935,0,0.072248,0.12,0,B
0.76,0.707407,0.32549,0,0.398773,0.838114,0.211765,0.245413,0.018,0,D
1,1,0.392647,0,0.932515,0.646046,0.87395,0.22133,0.05,0,C
1,1,0.328922,0,0.597546,0.778249,0.397479,0.211009,0.03,0,D
