@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
15.0,27.0,1100000.0,0,6.79,31.8,1.85,385,0,1280
15.0,27.0,985000.0,0,7.12,31.6,2.52,260,3.7,1280
15.0,27.0,794000.0,0,7.57,31.4,2.47,216,0,1280
15.0,26.8,696000.0,0,7.18,32.3,2.31,211,2.3,1280
15.0,27.0,748000.0,0,7.21,30.8,2.11,220,0,1024
15.0,27.0,817000.0,0,6.92,31.9,2.17,237,0,1024
15.0,27.0,793000.0,0,7.13,30.9,2.90,218,9.3,1024
14.4,25.3,944000.0,2.8,6.66,29.7,1.84,262,2.0,1024
13.2,22.2,1220000.0,1.3,7.21,31.1,2.69,318,2.8,768
15.0,27.0,1050000.0,1.9,6.43,29.8,1.81,267,2.2,768
15.0,27.0,1260000.0,1.7,7.08,29.7,2.13,338,1.3,768
14.1,25.2,1200000.0,0,7.11,30.0,2.16,293,0,768
15.0,26.7,762000.0,0,7.20,32.2,3.23,232,9.2,1280
15.0,27.0,1200000.0,0,7.22,34.1,2.20,297,0,1280
15.0,26.8,1140000.0,1.5,6.85,30.6,2.03,301,0,1280
15.0,26.9,1140000.0,1.4,7.05,31.8,1.92,282,0,1280
14.4,25.2,1060000.0,1.2,7.11,30.2,2.21,292,0,1280
15.0,27.0,849000.0,0,7.16,32.5,2.11,278,0,1280
14.4,25.4,682000.0,1.2,6.93,31.6,1.86,262,2.7,1280
15.0,26.5,894000.0,2.4,7.13,31.0,1.94,316,1.3,1280
15.0,26.9,1030000.0,1.3,7.23,32.1,2.58,298,0,1024
15.0,26.8,1200000.0,0,7.26,31.4,2.11,323,0,1024
15.0,27.0,1220000.0,0,7.17,30.2,1.99,351,0,1024
14.4,24.8,1170000.0,1.7,7.83,31.3,2.56,332,1.3,1024
9.60,11.4,540000.0,0,11.2,32.2,5.25,263,0,1024
12.2,20.2,1150000.0,1.3,7.79,30.1,2.69,321,0,1024
15.0,26.8,1220000.0,1.8,7.26,29.3,2.18,333,2.5,1024
