linux; GNU C++ version 5.4.0 20160609; Boost_105800; UHD_003.009.007-0-unknown

---  Software Radio Systems LTE eNodeB  ---

Reading configuration file /root/.srs/enb.conf...
Opening USRP with args: type=b200,master_clock_rate=30.72e6
-- Detected Device: B210
-- Operating over USB 3.
-- Detecting internal GPSDO.... Found an internal GPSDO: GPSTCXO , Firmware Rev 0.929a
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 30.720000 MHz... 
-- Actually got clock rate 30.720000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
Setting frequency: DL=1822.5 Mhz, UL=1727.5 MHz
Setting Sampling frequency 11.52 MHz

==== eNodeB started ===
Type <t> to view trace
Enter t to stop trace.
RACH:  tti=4741, preamble=16, offset=4, temp_crnti=0x46
Unhandled feature in RRC function: liblte_rrc_unpack_rrc_connection_setup_complete_msg


------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   14.2     0  1.60  1.30k     0%  22.7  26.0  10.1  22.6k     0%    0.0
User 0x46 connected
46   15.0     0  8.57  7.88k     0%  25.4  27.0  15.0  42.6k     0%    0.0
46   15.0     0  9.62  9.30k     0%  24.7  27.0  14.7  26.5k     0%    0.0
46   15.0     0  10.8  11.7k     0%  17.2  26.5  13.7  36.8k    29%    0.0
46   15.0     0  6.69  11.4k     0%  25.4  27.0  14.6  40.2k     0%    0.0
46   15.0     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0   0.0   56.0     0%  24.9  27.0  15.0  4.26k     0%    0.0
46   15.0     0  11.5  69.7k     0%  25.0  26.3  14.8  47.5k     0%    0.0
46   15.0     0  8.61  77.5k     0%  25.5  27.1  14.8  52.1k     0%    0.0
46   15.0     0  26.3  6.94M     0%  19.3  27.4  14.1   313k     0%    0.0
46   15.0     0  26.4  12.0M   2.0%  16.9  26.2  13.3   703k   5.2%    0.0
RF status: O=0, U=1, L=0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.6  17.1M     0%  20.7  28.1  13.6   390k   1.8%    0.0
46   15.0     0  26.6  23.1M     0%  20.1  29.8  13.9   675k     0%    0.0
46   15.0     0  26.7  23.3M     0%  19.1  28.6  13.6   526k     0%    0.0
46   13.8     0  24.5  25.4M     0%  18.4  31.4  13.5   524k     0%    0.0
46   15.0     0  26.5  14.6M     0%  19.3  29.9  13.7   500k     0%    0.0
46   13.2     0  22.8  20.5M     0%  19.4  30.5  13.4   450k     0%    0.0
46   15.0     0  26.2  14.4M     0%  21.1  29.3  14.1   325k     0%    0.0
46   15.0     0  26.6  23.6M     0%  19.0  30.5  13.4   441k     0%    0.0
46   15.0     0  26.4  20.5M     0%  19.4  30.4  13.6   432k     0%    0.0
46   15.0     0  27.0  30.1M     0%  18.3  30.1  13.4   571k     0%    0.0
46   13.8     0  23.8  19.3M     0%  19.0  30.5  13.6   399k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.2  18.3M     0%  20.2  29.7  13.6   399k     0%    0.0
46   15.0     0  26.6  22.0M     0%  19.2  29.2  13.5   437k     0%    0.0
46   15.0     0  26.8  17.2M     0%  19.0  31.5  13.1   381k     0%    0.0
46   15.0     0  26.1  12.3M     0%  21.2  29.0  14.0   254k     0%    0.0
46   15.0     0  25.6  10.4M     0%  21.0  29.1  13.7   214k     0%    0.0
46   14.4     0  23.2  8.71M     0%  22.4  29.3  13.8   178k     0%    0.0
46   14.4     0  23.6  9.51M     0%  20.8  29.0  13.5   207k     0%    0.0
46   15.0     0  26.0  10.2M     0%  20.9  29.1  14.3   193k     0%    0.0
46   15.0     0  25.4  8.25M     0%  21.8  29.2  14.2   179k     0%    0.0
46   15.0     0  25.7  10.3M     0%  21.5  29.7  13.8   254k     0%    0.0
46   15.0     0  24.6  4.28M     0%  22.6  28.7  14.5   284k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.4  16.9M     0%  19.7  29.1  13.3   586k     0%    0.0
46   15.0     0  26.7  23.6M     0%  19.0  30.1  13.4   484k     0%    0.0
46   15.0     0  26.9  20.7M     0%  18.5  29.6  13.3   427k     0%    0.0
46   14.4     0  25.6  26.4M     0%  18.6  30.3  13.4   511k     0%    0.0
46   15.0     0  26.2  16.2M     0%  20.0  28.8  13.8   361k     0%    0.0
46   15.0     0  26.1  15.4M     0%  19.6  28.4  13.8   718k     0%    0.0
46   13.2     0  21.8  14.3M     0%  20.8  28.7  13.8   338k     0%    0.0
46   14.4     0  24.3  14.5M     0%  20.1  28.9  13.5   335k     0%    0.0
46   14.4     0  22.3  6.58M     0%  22.7  30.4  13.6   157k     0%    0.0
46   15.0     0  25.6  7.54M     0%  21.7  30.0  13.7   171k     0%    0.0
46   15.0     0  25.6  8.82M     0%  21.3  28.8  14.3   207k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   14.4     0  23.4  9.79M     0%  22.0  29.2  14.1   221k     0%    0.0
46   15.0     0  25.4  7.74M     0%  23.0  29.4  14.3   159k     0%    0.0
46   15.0     0  25.8  8.47M     0%  21.0  29.1  14.1   177k     0%    0.0
46   15.0     0  26.2  13.4M     0%  19.2  29.2  13.9   286k     0%    0.0
46   15.0     0  26.6  24.0M     0%  19.2  29.9  13.3   471k     0%    0.0
46   15.0     0  26.2  19.6M     0%  19.7  29.6  13.8   440k     0%    0.0
46   14.4     0  25.5  24.2M     0%  18.9  30.6  13.3   503k     0%    0.0
46   14.4     0  25.2  21.0M     0%  19.2  30.0  13.3   429k     0%    0.0
46   15.0     0  26.5  19.5M     0%  19.7  30.0  13.5   430k     0%    516
46   15.0     0  26.7  21.5M     0%  19.0  29.9  13.3   451k     0%    0.0
46   15.0     0  26.0  10.1M     0%  20.8  29.2  14.0   204k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   14.4     0  24.0  10.7M     0%  21.9  29.7  13.8   255k     0%    0.0
46   15.0     0  25.8  9.32M     0%  22.2  29.5  14.3   197k     0%    0.0
46   15.0     0  25.8  9.83M     0%  22.1  27.7  14.6   191k     0%    0.0
46   15.0     0  25.5  8.52M     0%  23.1  27.4  14.4   168k     0%    0.0
46   15.0     0  26.3  13.3M     0%  21.1  26.9  14.1   286k     0%    451
46   15.0     0  26.5  22.0M     0%  20.7  27.6  13.9   465k     0%    0.0
46   14.4     0  25.3  22.4M     0%  20.8  26.8  14.0   458k     0%    0.0
46   15.0     0  25.9  15.3M     0%  22.5  25.8  14.3   397k     0%    0.0
46   15.0     0  25.6  7.94M     0%  23.5  25.2  14.1   287k     0%    0.0
46   15.0     0  26.3  17.7M     0%  21.4  26.4  14.1   435k     0%    0.0
46   14.4     0  24.8  17.0M     0%  21.1  26.1  14.0   459k   3.2%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.0  17.1M     0%  22.0  27.0  14.4   375k     0%    0.0
46   15.0     0  25.5  10.6M     0%  22.7  27.9  13.6   260k     0%    0.0
46   15.0     0  26.1  14.1M     0%  20.6  27.7  13.4   353k     0%    0.0
46   15.0     0  25.6  9.71M     0%  14.8  30.0  10.5   318k     0%    0.0
46   15.0     0  26.2  18.5M     0%  9.54  28.5  4.13   458k     0%    0.0
46   15.0     0  26.1  4.70M     0%  20.7  25.4  14.1   238k    13%    0.0
46   15.0     0  26.4  16.6M     0%  21.6  26.4  14.3   411k     0%    0.0
46   15.0     0  26.6  21.8M     0%  20.3  28.7  14.0   476k     0%    0.0
46   15.0     0  26.3  18.7M     0%  21.0  27.8  13.9   402k     0%    0.0
46   15.0     0  25.2  9.09M     0%  23.5  27.8  14.8   189k     0%    0.0
46   15.0     0  25.5  8.91M     0%  22.7  27.3  14.2   204k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.0  10.5M     0%  22.7  27.0  14.4   247k     0%    0.0
46   15.0     0  25.3  6.88M     0%  23.1  27.6  14.5   151k     0%    0.0
46   15.0     0  25.2  5.85M     0%  23.4  27.0  14.6   150k     0%    0.0
46   15.0     0  26.8  26.9M     0%  20.1  28.7  13.6   554k     0%    0.0
46   15.0     0  26.4  20.6M     0%  20.8  28.1  14.2   420k     0%    0.0
46   15.0     0  26.5  22.2M     0%  20.8  29.3  13.7   454k     0%    0.0
