09-12 12:25:21.132;278;289390;8327769;;;;;;;;
09-12 12:25:21.525;247;298650;8327769;;;;Com 3 celulares;;;;Com 1 celulares
09-12 12:25:21.616;97;176262;9672874;;;;;Bitrate;;;
09-12 12:25:21.883;148;1069;9672874;;;;;;;;
09-12 12:25:23.954;1930;898131;8327769;;;;;;;;
09-12 12:25:24.486;406;394974;7782738;;;;;;;;
09-12 12:25:25.294;807;614128;6088009;;;;;;;;
09-12 12:25:26.111;718;1575268;17551732;;;;;;;;
09-12 12:25:26.450;227;285218;17551732;;;;;;;;
09-12 12:25:27.002;553;1443848;20887492;;;;;;;;
09-12 12:25:27.803;728;1297931;14262978;;;;;;;;
09-12 12:25:44.131;353;358357;14262978;;;;;Enlapse;;;
09-12 12:25:44.763;633;1359395;17180348;;;;;;;;
09-12 12:25:45.924;1008;1538136;12207428;;;;;;;;
09-12 12:25:46.283;248;359670;12207428;;;;;;;;
09-12 12:25:46.558;276;523515;12207428;;;;;;;;
09-12 12:25:48.910;2252;1286550;4570337;;;;;;;;
09-12 12:26:05.283;246;292172;4570337;;;;;;;;
09-12 12:26:05.697;414;1222423;23621700;;;;;;;;
09-12 12:26:07.783;1967;1367757;5562814;;;;;;;;
09-12 12:26:08.238;341;293669;5562814;;;;;;;;
09-12 12:26:09.724;1486;1383964;7450681;;;;;;;;
09-12 12:26:10.647;824;1212436;11771223;;;;;;;;
09-12 12:26:11.042;263;420193;11771223;;;;;;;;
09-12 12:26:11.824;782;1050090;10742608;;;;;;;;
09-12 12:26:29.022;999;1584934;12692164;;;;;;;;
09-12 12:26:29.551;414;285179;12692164;;;;;;;;
09-12 12:26:31.134;1585;1445192;7294344;;;;;;;;
09-12 12:26:32.729;1474;1537806;8346301;;;;;;;;
09-12 12:26:33.182;367;388058;8346301;;;;;;;;
09-12 12:26:33.867;686;1318092;15371335;;;;;;;;
09-12 12:26:50.359;1038;1500247;11562597;;;;;;;;
09-12 12:26:50.797;322;263816;11562597;;;;;;;;
09-12 12:26:52.182;1385;1512630;8737212;;;;;;;;
09-12 12:26:53.262;869;1407994;12961970;;;;;;;;
09-12 12:26:53.919;544;725419;12961970;;;;;;;;
09-12 12:26:53.977;57;15993;12961970;;;;;;;;
